full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,65778,65778,5045,97,97,8,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,43309,43309,5369,202,202,23,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,16819,16819,3597,21,21,1,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,27584,27584,2145,29,29,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,19992,19992,1860,20,20,1,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,23319,23319,1348,23,23,1,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5590,5590,1434,9,9,1,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,10101,10101,1085,22,22,1,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,8854,8854,1145,7,7,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,6598,6598,461,19,19,0,https://github.com/frankbria/ralph-claude-code
OneRedOak/claude-code-workflows,3604,3604,533,3,3,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5275,5275,452,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
Piebald-AI/claude-code-system-prompts,4312,4312,636,16,16,0,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,3022,3022,404,5,5,1,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5290,5290,200,0,0,0,https://github.com/kodu-ai/claude-coder
disler/claude-code-hooks-mastery,2829,2829,540,26,26,0,https://github.com/disler/claude-code-hooks-mastery
Yuyz0112/claude-code-reverse,2074,2074,358,3,3,0,https://github.com/Yuyz0112/claude-code-reverse
zebbern/claude-code-guide,3367,3367,308,4,4,1,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,6475,6475,319,8,8,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,67077,67077,6692,271,271,32,https://github.com/anthropics/skills
