full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,59454,59454,4417,50,50,11,https://github.com/anthropics/claude-code
shareAI-lab/learn-claude-code,14976,14976,3392,12,12,2,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,26304,26304,2052,4,4,1,https://github.com/musistudio/claude-code-router
affaan-m/everything-claude-code,17000,17000,2071,853,853,100,https://github.com/affaan-m/everything-claude-code
davila7/claude-code-templates,18062,18062,1634,23,23,1,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,21462,21462,1217,31,31,1,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5268,5268,1392,3,3,2,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8554,8554,1125,4,4,1,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,8534,8534,938,15,15,0,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3523,3523,521,0,0,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5045,5045,426,3,3,0,https://github.com/ChrisWiles/claude-code-showcase
frankbria/ralph-claude-code,5197,5197,350,43,43,1,https://github.com/frankbria/ralph-claude-code
1rgs/claude-code-proxy,2902,2902,395,2,2,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5286,5286,201,0,0,0,https://github.com/kodu-ai/claude-coder
Piebald-AI/claude-code-system-prompts,3315,3315,495,15,15,3,https://github.com/Piebald-AI/claude-code-system-prompts
zebbern/claude-code-guide,3129,3129,281,2,2,0,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,1993,1993,348,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6266,6266,306,3,3,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,2107,2107,449,0,0,0,https://github.com/disler/claude-code-hooks-mastery
Cranot/claude-code-guide,2284,2284,250,0,0,0,https://github.com/Cranot/claude-code-guide
fuergaosi233/claude-code-proxy,1932,1932,269,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-base-action,559,559,598,0,0,0,https://github.com/anthropics/claude-code-base-action
eyaltoledano/claude-task-master,24994,24994,2407,3,3,1,https://github.com/eyaltoledano/claude-task-master
anthropics/skills,49457,49457,4725,136,136,20,https://github.com/anthropics/skills
wshobson/agents,26408,26408,2917,21,21,3,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3360,3360,244,1,1,1,https://github.com/Pimzino/claude-code-spec-workflow
anthropics/claude-code-security-review,2874,2874,214,1,1,1,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,374,374,507,0,0,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,998,998,212,5,5,2,https://github.com/edmund-io/edmunds-claude-code
github/spec-kit,64447,64447,5569,52,52,4,https://github.com/github/spec-kit
siteboon/claudecodeui,5658,5658,734,9,9,0,https://github.com/siteboon/claudecodeui
router-for-me/CLIProxyAPI,7758,7758,1203,9,9,2,https://github.com/router-for-me/CLIProxyAPI
ghuntley/claude-code-source-code-deobfuscation,811,811,401,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sugyan/claude-code-webui,856,856,197,2,2,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1354,1354,222,2,2,0,https://github.com/lst97/claude-code-sub-agents
ComposioHQ/awesome-claude-skills,24187,24187,2375,72,72,8,https://github.com/ComposioHQ/awesome-claude-skills
feiskyer/claude-code-settings,1131,1131,171,1,1,0,https://github.com/feiskyer/claude-code-settings
nishimoto265/Claude-Code-Communication,477,477,226,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
rizethereum/claude-code-requirements-builder,1733,1733,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
centminmod/my-claude-code-setup,1717,1717,167,7,7,0,https://github.com/centminmod/my-claude-code-setup
andrepimenta/claude-code-chat,976,976,143,0,0,0,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,487,487,46,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
21st-dev/1code,4097,4097,359,50,50,5,https://github.com/21st-dev/1code
EveryInc/compound-engineering-plugin,6041,6041,476,46,46,3,https://github.com/EveryInc/compound-engineering-plugin
winfunc/opcode,20137,20137,1553,4,4,0,https://github.com/winfunc/opcode
EnzeD/vibe-coding,3760,3760,1191,1,1,1,https://github.com/EnzeD/vibe-coding
peterkrueck/Claude-Code-Development-Kit,1285,1285,146,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
Njengah/claude-code-cheat-sheet,1208,1208,148,3,3,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1011,1011,118,0,0,0,https://github.com/steipete/claude-code-mcp
ykdojo/claude-code-tips,1514,1514,93,4,4,0,https://github.com/ykdojo/claude-code-tips
snarktank/ralph,6874,6874,827,112,112,7,https://github.com/snarktank/ralph
zed-industries/claude-code-acp,776,776,120,0,0,0,https://github.com/zed-industries/claude-code-acp
JessyTsui/Claude-Code-Remote,966,966,106,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
revfactory/claude-code-mastering,740,740,118,0,0,0,https://github.com/revfactory/claude-code-mastering
DmitrySolana/ralph-claude-code,1150,1150,95,1,1,1,https://github.com/DmitrySolana/ralph-claude-code
disler/claude-code-hooks-multi-agent-observability,917,917,281,1,1,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
wasabeef/claude-code-cookbook,972,972,106,1,1,0,https://github.com/wasabeef/claude-code-cookbook
0xfurai/claude-code-subagents,651,651,123,0,0,0,https://github.com/0xfurai/claude-code-subagents
slopus/happy,8493,8493,625,24,24,3,https://github.com/slopus/happy
jarrodwatts/claude-code-config,869,869,101,2,2,0,https://github.com/jarrodwatts/claude-code-config
